ts,pa
2020-09-08 06:12:31,100733
2020-09-08 06:13:31,100735
2020-09-08 06:14:31,100735
2020-09-08 06:15:31,100741
2020-09-08 06:16:31,100738
2020-09-08 06:17:31,100737
2020-09-08 06:18:31,100737
2020-09-08 06:19:31,100740
2020-09-08 06:20:31,100738
2020-09-08 06:21:31,100736
2020-09-08 06:22:31,100737
2020-09-08 06:23:31,100737
2020-09-08 06:24:31,100739
2020-09-08 06:25:31,100734
2020-09-08 06:26:31,100738
2020-09-08 06:27:31,100736
2020-09-08 06:28:31,100737
2020-09-08 06:29:31,100739
2020-09-08 06:30:31,100737
2020-09-08 06:31:31,100740
2020-09-08 06:32:31,100742
2020-09-08 06:33:31,100740
2020-09-08 06:34:31,100741
2020-09-08 06:35:31,100745
2020-09-08 06:36:31,100746
2020-09-08 06:37:31,100745
2020-09-08 06:38:31,100742
2020-09-08 06:39:31,100747
2020-09-08 06:40:31,100747
2020-09-08 06:41:31,100744
2020-09-08 06:42:31,100743
2020-09-08 06:43:31,100745
2020-09-08 06:44:31,100748
2020-09-08 06:45:31,100746
2020-09-08 06:46:31,100748
2020-09-08 06:47:31,100750
2020-09-08 06:48:32,100752
2020-09-08 06:49:32,100754
2020-09-08 06:50:32,100750
2020-09-08 06:51:32,100751
2020-09-08 06:52:32,100747
2020-09-08 06:53:32,100747
2020-09-08 06:54:32,100751
2020-09-08 06:55:32,100752
2020-09-08 06:56:32,100753
2020-09-08 06:57:32,100756
2020-09-08 06:58:32,100756
2020-09-08 06:59:32,100760
2020-09-08 07:00:32,100765
2020-09-08 07:01:32,100767
2020-09-08 07:02:32,100772
2020-09-08 07:03:32,100772
2020-09-08 07:04:32,100773
2020-09-08 07:05:32,100775
2020-09-08 07:06:32,100778
2020-09-08 07:07:32,100781
2020-09-08 07:08:32,100784
2020-09-08 07:09:32,100782
2020-09-08 07:10:32,100782
2020-09-08 07:11:32,100783
2020-09-08 07:12:32,100783
2020-09-08 07:13:32,100785
2020-09-08 07:14:32,100787
2020-09-08 07:15:32,100787
2020-09-08 07:16:32,100786
2020-09-08 07:17:32,100789
2020-09-08 07:18:32,100787
2020-09-08 07:19:32,100789
2020-09-08 07:20:32,100790
2020-09-08 07:21:32,100797
2020-09-08 07:22:32,100802
